Name,Comments,Travel_Date,Writing_date,Rating of 5,O/D,Secteur,Contribution
Kofi Andoh A,"It's the most insensitive and uninspiring airline. They left the luggage of over 50 passengers in Casablanca, including mine, without communication. They abandoned passengers and asked us to go to hell. I lost the luggage, which frustrated me, and they refused to offer any reasonable explanation.",July 2025,,1,Accra - Washington DC,International,
funmilola o,"Royal airmaroc is the worst airline u can take, I flew from lagos to London had a lay over in casablanca. When i got to Gatwick only for me to not see my remaining one baggage, I call them, fill the inventory form sent it back and even do all the things they told me to do but still I didn't see me baggage and they didn't even pay damages still. I won't advice anyone to use their airline. I even sent pictures of my a look alike baggage in case they see it, I told them what it is inside the bag which very valuable to me because those things are my equipment for work and other important things that are expensive but no response from them. I was pained, cried now they are expensive in UK.",May 2025,,1,Lagos - London,International,
Shade B,"Worst airline experience ever and I travel alot. Always delays because they are poorly organised. I missed my RAM connection because their flight was late, I arrived in Casablanca the staff told me to pass security and still go to the gate to arrive to a closed gate and I had to come all the way back queue for a new tickets and no one apologises, no staff gives any explanation or they just lie. They booked a flight for the following day giving me no choice, they told some people they would have to repay a ticket knowing they are the reasons they lost their flights. So I lost a day of work having to stay in a cheap hotel they offered in Morroco. Following day again over 1h delay..honestly if you can avoid this airline avoid, their services is terrible and unreliable plus staff never apologies for their bad services.",June 2025,,1,Abidjan - London,International,
bridiehill,"Our experience with Royal Air Maroc was nothing short of appalling, and I strongly urge others to avoid this airline. We paid a premium for an international flight in April, only to be told at the airport -with zero warning - that the flight was overbooked. Despite holding confirmed tickets, we were denied boarding. No apology, no real explanation, just a cold ""you won't be able to fly today."" The next available flight wasn’t for 24 hours, and the staff offered no real support. We were passed around between multiple employees, each giving contradictory and vague information. Eventually, we were dumped in what can only be described as the worst hotel imaginable - dirty rooms, no air conditioning, terrible food, and unhelpful staff who clearly didn’t want to deal with stranded airline passengers. When we asked about compensation, we were again given conflicting answers. One person said we’d be reimbursed, another said no compensation was available, and others just redirected us to vague online forms. It is now July, and one of my friends who was stranded with me still hasn’t received so much as an email reply from Royal Air Maroc - despite sending multiple messages and following up. Weeks go by without any response. There is no working customer service phone number, no one to talk to, and absolutely no accountability. For an airline that charges high prices, the lack of professionalism, care, and basic service is shocking. We were treated like a problem to be ignored - not paying customers who had our plans wrecked by the airline's own failures. A similar incident happened last year with EasyJet and they were fantastic in sorting out accomodation, transfers and a new flight. If you value reliability, basic communication, or even minimal decency, do not fly Royal Air Maroc.",April 2025,,1,Casablanca - London,International,
Ismail K,"Rude staff at both JFK and NKC. Brought 11 bags for checkin but only got stickers for 10. I Noticed the issue right after getting boarding pass and told the same guy who helped me. He told me to go a head and board the plane and if he would look for the missing bag down stairs; If he find it he will send it to my final destination otherwise I will get to claim it at NKC, my final destination. At the arrival I didn’t find the bag and when I tried to report the issue to the head of their office in NKC, he told me- with an aggressive tone to get lost.",July 2025,,1,New York City - Nouakchott,International,
Rolla Z,Where do I start? 1. Planes were from the 1950s old crappy and no wifi. The electricity went out and we had no TVs for like 2 hours and it was a transatlantic flight. The flight from Casablanca to Cairo and back had 0 entertainment. Half the chairs were falling apart and arm rests were breaking. 2. Food was horrible. I flew business and definitely not worth the money. They were stingy with the drinks and snacks. My friends were in economy and one of them got sick. 3. The flight from Cairo to Casablanca had no air conditioning. I was dying and the flight attendant was useless. 5 hours in 85 degrees. 4. Casablanca airport is horrible nobody knows anything about anything. Our gates changed nobody knew. We ran around with 0 help. 5. And don’t get me started about the luggage. If you want to lose your bags for your trip travel Royal air Maroc. Because they are professional luggage losers and not professional finders. We didn’t get our bags to Cairo for a day. It wasn’t the airlines that found them but actually a private company hired by the Cairo airport that helped us. On the way back home we have not received one of our bags. I’ll get to that in #6. 6. Customer service is garbage and there is no other way to put it. We call everyday and nobody helps us we make claims and complaints with 0 help. 6 days no luggage and all they tell us is we can send an urgent email to the luggage department. But 5 days and still nothing….super urgent. You can’t talk to a manger. you can’t talk to a supervisor. You can’t get ahold of the “luggage department” yourself. And they leave you helpless. Save yourself run clear of this company. #donotflyroyalairmaroc,July 2025,,1,Miami - Cairo,International,
Clare N,"Appalling communication when flight was delayed. We were unable to catch the flight because of incorrect information give to us when at the gate and on time by Royal Maroc Air staff. I tried to raise this with Royal Air maroc via phone, email and their website multiple times. They did not even respond.",May 2025,,1,Casablanca - Toulouse,International,
Toluwase O,"Flight was terrible, was delayed by an hour from Lagos to Casablanca and then the connecting flight from Casablanca was delayed for over 3 hours without any explanation. Even the attendants at the Casablanca Airport were there laughing and making fun of us.",July 2025,,1,Lagos - Manchester,International,
Blessing D,"Three hours of delay at cassablanxa, missed connecting flight to Scotland. I was stranded at the airport all night due to their fault. No compensation no help. This is my 3rd day of Arrival…. My 23kg luggage is yet to be recovered. Poor!!!",July 2025,,1,Lagos - Manchester,International,
Mackenzie C,"I wanted to write this to help those who feel anxiety over how bad this airline’s reviews are - I truly had SUCH a nice experience with them. Our Norse Airways flight from JFK > Paris got cancelled just a few hours before check in, and we scrambled to find a new flight and Royal Air Morac was the only option with a layover in Casablanca. If you’re traveling light (we all only had a personal item/carry on) you have nothing to worry about. Nothing was weighed or questioned, the staff was actually some of the nicest I’ve had on an airline, BOTH flights took off at the time they were supposed to to a TEE, the meals were on the better side of airline food we’ve had, and the entertainment selection on the longer leg was updated with a lot of options. All in all, a pretty incredible experience after the major issues we had to overcome. I’d definitely fly them again.",July 2025,,5,New York City - Paris,International,
Sharon O,"No form of communication despite all the delays. This trip has been so frustrating because of this airline. Everytime I called the customer service, they’d say they don’t know and they have no sort of contact for me to reach out to.",June 2025,,1,Casablanca - Manchester,International,
Nounou Z,OMG Food was tasteless and sandwiches and muffins were frozen my luggage was dammaged and the zipper was opened and i lost 1 shoe and a toiletry bag the people loading and unloading the bags are reaLLY SAVAGES,June 2025,,1,Casablanca - Montreal,International,
Femy P,Very bad experience ineffective service no good communication my bag was lost and nobody communicated and no compensation payed since April,April 2025,,1,Toronto - Lagos,International,
Kenza2012,RAM has usual did not disappoint. Atrocious customer service as has become expected. On flight No AT802 Casablanca-LDN Gatwick. At the final passport and visa check the employee decided that I needed to show her my visa for the U.K. (Bahrein special passport holder) with a photograph . I showed her a printout receipt of my ETA stating my UK visa number was linked to my passport and that I needed my passport only to enter the U.K. Either she could not read English or she did not understand what she read. After a 20 minutes wait she changed her mind and we were allowed to board the bus. Not a sorry or a word of apology.,June 2025,,2,Casablanca - London,International,
key,"I had one of the worst travel experiences with Royal Air Maroc on June 29th. My flight was scheduled for 8:00 PM. At 6:00 PM — while already in the boarding area — we were informed of a delay until 10:30 PM. When 10:30 PM came, there was no update, no information, nothing on the screens, and no staff to talk to. Around 11:10 PM, we were put on a bus in extreme heat, without air conditioning, and left there for about 15 minutes. Once onboard the plane, the situation was the same: no air circulation and more unbearable heat while we waited another 15–20 minutes before taking off at midnight. When we arrived in Guelmim, the plane couldn't land due to heavy fog. The situation became frightening. We were taken all the way back to Casablanca. Once there, they made us wait in the boarding area again, completely exhausted, with no one from RAM to talk to and no hotel or accommodation provided — just a vague, repeated statement: “You have to wait.” We also asked for an official document stating that the airline was responsible for the delay — and, unsurprisingly, we were given nothing at all. I finally decided I couldn’t take it anymore and asked to leave and get my luggage. Based on a previous bad experience, I knew this would be complicated. I had once waited 4 hours for a bag they refused to give me because the flight hadn’t taken off yet. Eventually, I was told by two RAM staff members that my luggage would be sent to belt 2. When I got there — nothing. After 10 more minutes, a staff member told us we were now registered for the 9:00 AM flight and could no longer retrieve our bags. Just like that, same old story, same chaos, same lack of accountability. This airline is completely disorganized. There’s no clear communication, no support, no documentation, and no respect for passengers. A truly disappointing experience.",June 2025,,1,Casablanca - Guelmim,Domestic,
Mounir M,"It was 37 degrees in casablanca and no air conditioning nor ventilation on. No information provided nor acknowledgement of the conditions on the ground. The pilot stopped and restarted the engines many times and while on the ground people almost collapsed. This is unacceptable for nowadays travelling conditions and if you could avoid travelling with Royal Air Maroc, please do at all price, personally I will reroute via Paris or another European capital and a serious airline company even a low cost one.",June 2025,,1,Casablanca - Manchester,International,
robinpiegeler,"I had a flight booked direct tangier to London, the airline a week before changed my flight from 3 hours to 9 hours with a 6 hour stopover, they declined the refund, offered no vouchers and have been so unhelpful, do not fly with this airline unless you are willing to triple your travel time",June 2025,,1,Tangier - London,International,
Victoria C,Could you consider including vegetarian meals? For the rest all perfect. No big delays and nice treat from the crew. I’d recommend,June 2025,,4,Casablanca - Sao Paulo,International,
TC,"I’ve seen reviews about lost baggage and delayed connections, but no one really talks about how this airline exploits you when it comes to seat selection — especially if you’re traveling with kids. I booked my trip to Casablanca on the American Airlines website because it was $200 cheaper than booking directly through Royal Air Maroc. I was traveling with my two kids, so the total savings came to $600. Sounds great, right? Since I booked through AA, I was told I couldn’t select seats until check-in. Fine, I waited for the email to check in. When I did, I discovered they had seated me and my daughters at the very back of the plane. There were plenty of better seats open, so I clicked “Change Seats.” It let me change my seat for free. Then I tried to change my older daughter’s seat — suddenly there’s a $5 charge. Annoying, but okay. When I tried to change the third seat for my 4-year-old, it jumped to $50! That felt absurd. I tried to cancel the seat changes and start over — but nope. I got a message saying I couldn’t go back and could only move forward with payment. I even closed the browser and reopened it, only to be greeted with a new message: “To get your boarding pass, you must finish paying for your new seats.” So I was stuck. Pay $55, or risk having my 4-year-old seated randomly on a long-haul flight. I had no choice. I don’t mind paying for seats — but this was manipulation: 1. No price transparency before selecting seats. Every other airline shows seat prices before you pick. 2. They baited me into a corner, knowing I wouldn’t want my children seated alone. Maybe I should’ve cleared my cookies. Maybe I could’ve fought at the counter. But the process was shady and stressful — especially for a parent just trying to get decent seats",June 2025,,2,Miami - Casablanca,International,
GoPlaces59420354377,"Terrible Airline. Very disorganized, very unprofessional. They do not let you take on a carry on even though they promise you too. Customer service is terrible, no manager. Much better airlines to use. They are rude, disorganized and overpriced! Seats are small, again only 1 carry on and no overhead space. Do Not Fly Royal Air Maroc!! You are welcome!",May 2025,,1,Lagos - New York City,International,
Adeola A,My experience was very bad. We go to Morocco and we were told there’s no room for us to sleep that we should sit down in the lounge over 12 hours. That’s not fair we paid huge amount. the flight. And take us to Morocco and they ignored us which is not fair on people we pay huge amount so did Johnny begin again we were here sitting down we can’t sleep. We can’t do anything. This is not fair. Thank you. I have a worst experience with airmorocco,June 2025,,2,Lagos - London,International,
Unknown U,"I once read a review like this and assumed this could not be me and i gave it the benefit of the doubt. If you're planning on using Royal Air Maroc, don't do it. I had the ultimate worst experience. The staff offered the worst customer service from the moment of checking in. When I taught it would be better on arrival, things got worst. The professionalism and customer service was absurd. I traveled from Toronto with my 2 children. On arrival at Casablanca I kept asking for directions at I felt like no one understood. I was told by staff at the airport ""this is not canada, its a different system here and theyll call the police"". It was frustrating, I was given the run around until I completed missed the flight, was screamed at, was stuck in maroc for longer than expected (accomodations/expense fees i had to cover on my own) and my baggage was delayed and one lost. While I was in casablanca with my 2 kids, I visited the airport for 3 days straight in search on my baggage with the customer service. One of my baggage was still missing. I notified Air Moroc via email and in person that I will be leaving Casablanca and I need to know what steps i should take. They reassured me that my baggage will follow the location i will be at next. I still sent emails and used the online tracking system which is not working properly. Few days later, I got back to the airport to prepare for my flight to toronto from casablanca. And again I got reassured that the bag is in transit to toronto from casablanca and one of their rude staff told me i shouldnt worry about it. I asked to speak to someone else and spoke to 3 other staff about my issue and they sent me back to that particular rude staff. On arrival to toronto that very day no baggage and the tag information is not found in the system.",June 2025,,1,Toronto - Paris,International,
Joyce M,Absolute terrible experience with them. Had to travel quick for a funeral and they made the journey to and from a nightmare. Delayed flights causing us to miss our connecting flights (This seems like the norm for them). Rude and unhelpful staff. Blaming customers for missing flights even though they arrived late. Wanting customers to pay for another flight (extortion). Missing luggage and no explanation or insight on how i would get my belongings. But the last straw was my luggage was to be delivered and the delivery man said no one was home and unable to deliver even though I was waiting all day for it. This would be my last flight with them. If i can give zero stars I would,June 2025,,1,Freetown - London,International,
S_JT_2320,Our journey had 2 sectors. The planes were oldish but took off and landed at the scheduled time. One of our items of baggage didn't make it to Marseille but it was delivered to our hotel within 36hrs. So on balance an OK experience and yes I would use them again.,June 2025,,4,Agadir - Marseille,International,
Youssef M,"If I can give less than one star, I would. No consideration. 9h delay in my my way to Morocco and the same in my way back without letting you know and the add thing is that you have to check on time to wait for more than 11 hours to depart. Last time I’m flying with la RAM",June 2025,,1,Casablanca - Miami,International,
Ahed M,"It’s the worst airline to fly with. Our original flight was from Dulles International Airport but our flight time kept changing and its was getting us to our destination much later than we intended. Customs service was at worst, they even attempted to scam us to pay again for our tickets. Then to find out that our card was compromised. They finally agreed to change our flight to fly from New York instead of Washington. We had to pay for our own transportation to New York so we can arrive to Paris on the 15th as we planed not the 16th as the airline intended to fly us. On the plane business class was very disappointing, service was very bad, the flight attendant was the most rude person I ever met. No blankets, baby pillows, seats are very uncomfortable, for of served cold.",June 2025,,1,New York City - Paris,International,
pjn5,"Since Gambia Experience, in a moment of insanity, decided to stop direct flights from England to The Gambia from May to Oct, I had to find an alternative. The 2 flight choice with RAM seemed to be the best option and the price wasn't bad. Plane condition was adequate for 2 x 3.5 hour flights , in flight staff were fairly friendly and food was OK. Flight arrived on time with the usual wait for my suitcase which arrived broken. My sons travelled 2 weeks later and had an unforgettable experience....racist behaviour from staff and then RAM lost 2 of their suitcases. The cases finally arrived 4 days late, after we had driven to the airport every night to check (RAM do not contact you and do not apologise). We saw cases lost every night we were there... Conclusion. As Gambia Experience can't be bothered flying there all year round., RAM is a cheaper reasonable alternative. But do not expect friendly staff and do NOT check in luggage",May 2025,,3,Manchester - Banjul,International,
Michael M,"DO NOT FLY ROYAL AIR MAROC!! THEY ARE A LYING AND DECEPTIVE AIRLINE! I purchased two RT tickets from Miami-Madrid, connecting through Casablanca, for my daughter and I as part of a 9 day tour package. 12 hours before we were to depart Miami, the airline notified us that our flight to Casablanca was going to be delayed by 7 hours. This would have caused to us to miss the entire first day of our tour, which was totally unacceptable. I was finally forced to purchase round trip tickets ($2800) Miami/Madrid out of my pocket after Royal Maroc was unable to get us on a different flight that would have arrived on time in Madrid to make our tour. I requested a full refund ($2800) and after several months of back and forth, they agreed IN WRTING IN AN EMAIL to give me a full refund. That was 90 days ago and still have not received the refund. Additionally, they have now resorted to ghosting me with no replies to the countless emails I have sent asking when I can expect the refund. Royal Air Maroc is an ethically and morally bankrupt company. DO NOT GIVE YOUR HARD EARNED MONEY TO THIS SHAM ORGANIZATION!",July 2024,,1,Miami - Madrid,International,
Mohamed E,Fly with Royal Air Maroc if you like to pay more and get a worse service. Be prepared for major delays and no customer service.,June 2025,,1,Casablanca - London,International,
Mbo K,"I recently had the opportunity to fly with Royal Air Maroc ( from Toronto to Paris via Casablanca TA 210/ returned from Paris to Toronto via Casablanca TA 211)- the experience offered sharp contrasts depending on the aircraft and location. The Good: The Boeing 787-9 Dreamliner stands out as Royal Air Maroc’s best offering. I flew from Toronto in Business Class (also referred to as First Class and the comfort, seat design, and onboard service met international standards. The cabin was modern, the service attentive, and the flight experience overall was descent. If you are considering flying Royal Air Maroc long haul, make sure it’s on a 787-9—it makes all the difference. The Not-So-Good: Unfortunately, the 787-8 aircraft is noticeably dated in comparison. The layout and experience are underwhelming, especially for business travelers who expect consistency in premium service. Those familiar with the airline tend to avoid the 787-8 format, and I now understand why. The Major Concern: Ground Experience in Morocco The Casablanca airport is a major weak point. The VIP Lounge was substandard, with unpleasant odors, minimal food (mostly questionable mini sandwiches), and no atmosphere of premium service. We left the lounge because it simply wasn’t acceptable. There’s no proper Business Class lane at check-in, and the transport vans to the aircraft—especially for premium customers—are outdated, without air conditioning, and not fit for a flagship carrier experience. If anything, you’re better off being the last to board to avoid that discomfort. The customer service at Casablanca airport is a glaring issue—there’s no sense of priority, no warmth, and no efficiency. My short-haul business class flight from Casablanca to Paris (2 hours) was not worth the upgrade. The experience felt economy-class at best. Final Thoughts: I wouldn’t write off Royal Air Maroc entirely. The 787-9 long-haul service is a step in the right direction and shows promise. I also noticed that Emirates is building a presence in Casablanca, which may push Royal Air Maroc to improve. Perhaps they are in a growth transition—but if they want to compete globally, they must step up ground services, consistency, and premium experience across all routes and aircraft/ food was okay one meal on 7 hours fly and cold salad 6 hours later- maybe they expect you to sleep for 8 hours. Until then, I will avoid long layovers in Casablanca and any Royal Air Maroc aircraft that is not the 787-9.",May 2025,,2,Toronto - Paris,International,
Ebelechi I,"My luggage was missing till date, customer service is very poor, poor communication and language bno customer service arrier,,My flight was delayed by one hour 30 minutes,in Lagos and is a conneccting flight,then getting to Casablanca,we missed the connecting, we're asked to pay, for something that is not our fault,reaching to London,one of my bag was missing,my bag even arrived before me.i regret flying with Royal air Marco,the stress is too much,the losss is undescribable.",May 2025,,1,Lagos - London,International,
Jazzy J,"If you value your sanity never fly with Worst airline ever. Terrible customer service, Delayed flights Lost baggage. I hope someone from the BBC investigates this horrible airline and brings it to stop all operations. An airline like this should never be in operation. I am owed compensation money for a delayed flight and they are still yet to pay or investigate my lost baggage which carries (by law) more compensation. It has been 4 months now and i am still yet to see anything. Whenever i leave a message i get the same response",January 2025,,1,Manchester - Banjul,International,
S M,"My luggage never showed up; it was presumed lost. This happened to approximately 80% of the passengers on my flight; it was chaos at the arrivals area. The flight was a nightmare, the seats were cramped, the toilet did not flush (the smells from the back of the plane were eye-watering)....I could go on. I had to purchase new clothes at a significant cost, since they did not bring my bags.",June 2025,,1,Lisbon - Lagos,International,
B B,TV/Films system did not work during an 8 hour flight. I complained to 2 attendants 30 mins after we got in the planes. They never do anything to solve the problem. I had to complain again to a 3rd attendant lady. She apologized but never solved the problem. The attendants are arrogant. They need training outside Morocco to learn about the real customer service. What a shame that RAM charges a lot and provides such a bad service.,May 2025,,1,Casablanca - Washington DC,International,
T A,"Travelled to Marrakesh in high spirits with my wife, for our very first holiday together abroad. And to say that the experience of flying with Royal Air Maroc has soured that experience somewhat would be an understatement. From delays, to poor customer service and an early check in system that exists for nothing the list of complaints are almost endless. Our flight to Marrakech had a layover for an hour in Casablanca, it was supposed to be a quick genuinely stress free transfer turned in to the complete opposite. Not only was the flight delayed here when we arrived at the gate for unspecified reasons, there was no apologies issued for the delay in flight. After landing in Casablanca over an hour late we had to run through the terminal like maniacs to catch our connecting flight to Marrakesh. Our return connecting flight from Marrakesh to Casablanca was also delayed, once again no reason was given for the delay, in fact they did not even bother telling us the flight was delayed, the staff at the gates seemed unbothered like this was a common occurance. No apology was given. The online check in is a total waste of time, I checked in online soon as it opened and on the return flight it did not allow me to select seats. When I asked at the airport to ensure that mine and my wifes seats were together, the member of staff checking us in said they would however when I was handed the boarding pass I noticed that we were given completely different seats and rows, my wifes was 5 rows away. When I raised this with the staff member they simply said they could not do anything about it and dismissed us rudely. In general the customer service from Royal Air Maroc members was poor, they seemed like they did not want to be there. I would not recommend Royal Air Maroc to my worst enemy.",May 2025,,1,London - Marrakech,International,
Fumilayo T,"I AND MY FAMILY DIDN'T GET OUR LODGES AND BAGS SINCE WE RETURNED TO NIGERIA ON THE 29TH OF MAY TILL DATE, SO WE ARE NOT HAPPY ABOUT THE SITUATION. SO WE DONT NO WHAT IS HAPPENING NOW. I REGREAT OF FLYING RAYEN AIR MAROC AND I CAN NEVER FLY THIS AIR LINE AGAIN AND AGAIN. THANKS",May 2025,,1,Venice - Lagos,International,
Jess,"DO NOT fly with Air Royal Moroc unless you want to have your travel plans thrown into oblivion! We had our flight booked 8 months in advance with the route of Barcelona to Miami with a day layover in Casablanca (Morocco). We booked a lovely hotel, airport transport and a trip in Casablanca and everything in Miami for the airline to notify us 1 DAY BEFORE that they had cancelled our flight from Casablanca to Miami. Their marvellous solution was to put us on another flight more than 20h after the original flight without any intention of covering the cost of another night in the hotel. We suggested another flight option that would have got us into Miami earlier but they refused. The customer service was awful, useless and the policies are inhumane. Maybe the airline would be okay for short haul but I HIGHLY RECOMMEND you go elsewhere to save you from this type of predicament. Highly disappointing Air Royal Moroc, do better!",May 2025,,1,Barcelona - Miami,International,
Bart De Backer,"Worst flight I’ve ever experienced. Got boarded 10 minutes late. Then we stayed in the plane on the remote tarmac for over 1h20 minutes due to ‘additionele technical controle that were needed’. The plane was hardly airconditioned (33 Celsius inside) and people were suggering from the heat. Some people were getting sick. There were also babies on board… you can imagine the chaos. In the end water was distributed to the passengers by the crew. We were hardly informed about when the plane would take off. The seats were worn out and the Windows really dirty… It is really sub-standard. Once airborne, there was no choice of food (i was seated at row 27 of 31 or 32 rows of a B737-800). The fish was horrible and there were only begravend, no rice or potato. I asked for a diet coke, also not available anymore 35 minutes into the flight ! Really a nightmare this flight. Will never Fly Royal Air Marco again ! It is sub-standard and not worth your money.",May 2025,,2,Casablanca - Brussels,International,
Maps57886209199,"We were flying from BCN to IAD with a layover at CMN. Honestly, the seats weren’t terribly uncomfortable in the Boeing 737-800 or Boeing 787-8. We also had plenty of legroom, which was nice. The cabin of their 737-800, however, had barely any AC, during the boarding and taxiing process, so it felt like a sweat box until we reached cruising altitude. Our second flight was delayed, so a 1 hour layover became an 8 hour layover and we did not fancy CMN’s airport at all. As we got on the jet bridge, we had to evacuate it and go back to the terminal, because of some issue with the plane. While I was sleeping on the flight from CMN to IAD, either a flight attendant or another passenger stole my blanket (not the airline’s provided blanket, but my own personal property) and the flight attendants offered me no assistance. They wouldn’t even come to me when I pressed the call button! So, make sure to tuck away *ANY* personal belongings that you don’t want taken and understand that the flight attendants will be mostly inattentive to you, unless you vomit. The food wasn’t bad, but wasn’t good, either. We chose chicken, but fish was offered, as well, and it was okay, but definitely not the best airline cuisine. Honestly, I’m just glad we got back to the US in one piece.",May 2025,,2,Barcelona - Washington DC,International,
Andre,"Like 99% of the people before me, I write this review to warn others about the atrocious service this airline provides. My experience was: On the way back to Lisbon from Casablanca, me and five other people were selected to stay aside, before you enter the plane, humiliated, with the explanation that there was a problem with one seat in our row. One hour standing, being rudely treated by staff. It was only when one of us demanded to enter that we were allowed in, only to find out the seats were already taken by other passengers. The crew reaction was unbelievable, one even told us we were lucky they let us in the airplane, I'm still speechless a month later. I was finally seated after a crew member told me "" you can seat there or you can stand "" I was offered no beverage or food during the flight. Note - I was at no time rude to anyone. I absolutely love Morocco. Next time I'd rather swim there than using this sorry excuse of an airline.",April 2025,,1,Casablanca - Lisbon,International,
Cenina S,"Despite flying business class, my experience with Royal Air Maroc was deeply disappointing from start to finish. The boarding process was chaotic and poorly managed—it took over 30 minutes to board, with no clear priority for premium passengers. Once on board, one flight attendant was particularly rude, going so far as to challenge my use of the restroom at the end of the flight, despite having interacted with me multiple times and knowing I was seated in business class. As for the food, it was lackluster at best. The seats were uncomfortable and not what I expected at all! The most frustrating part came after landing: my luggage was lost, and the representative in Casablanca showed little interest in helping. Their attitude was dismissive and unprofessional. Reaching customer service for an update was almost impossible—when someone did finally call me back, I had to repeat all of the information from my original claim, only to be told there were no updates. If I could give this airline a -100, I would. For an international carrier, this level of service is unacceptable. I sincerely hope they address these operational and customer service failures.",May 2025,,1,Miami - Marrakech,International,
Z i,"Came here to give a bad review about a canceled flight without reumbecment or atleast giving back hotel fees that we had to pay. But it is already bad with 2 stars, I wish I saw these reviews before booking. And they hold monopoly on flights in morocco which is even worst, since you dont have other options.",April 2025,,1,Zagora - Casablanca,Domestic,
Ahmed C,"Upon arriving to Freetown I didn’t get my luggage for a period of 12 days. One of my luggage was damaged and no compensation was paid. And the staff at the Wilkinson road office were rude and unwilling to help me fill out the delay baggage claim. Coming back from Freetown I was kept at the Casablanca airport for 8 hrs with no accommodation. The airline offered me a burger which made me sick at the airport. I still have photos of left over burger. I will never fly with Royal air Maroc , it is disgusting.",February 2025,,1,Miami - Frankfurt,International,
MHR,Atrocious airline. Experienced a nearly 15 hour delay on a flight from DC to Casablanca - never even an apology. The staff--if you can call them that--sat some cans of pepsi out on the desk and that was all that was provided. Hardly any communication. Service on board was equally awful. The airline should not be a member of the One World alliance as it cannot meet even basic standards of service. Truly awful.,May 2025,,1,Washington DC - Casablanca,International,
Resort62514295257,"My airticket was initially modifiable with fees, I modified it the first time with fees. Again, I couldn't travel this time in May 2025, so I tried to change it online, but it was impossible, I completed the form request online, they just sent me the customer phone number in Morocco, I answered them by email that I can not call this international number, no answer. Today, I contacted one agency RAM here in Dubai, they confirmed me that the airticket can not be modified. So I lost this ticket and my money. Terrible customer service, I will not buy again any airticket with them.. It's unacceptable and unprofessional..👎👎👎👎",May 2025,,1,Dubai - Casablanca,International,
Loretta E,The worst airline ever. It’s one week since I arrived and I still haven’t gotten my luggage. They left it in Casablanca. The most inefficient customer service also. I would never recommend,May 2025,,1,Abuja - Manchester,International,
mokj357,"I had a terrible experience during my overnight transit in Paris before my flight back to my home country. Check in agent The check-in agent failed to inform me that my baggage would be sent directly to home country . I only realized this when I was boarding. The staff at the boarding gate ( the staff) I needed to retrieve my luggage in Paris to access some medicine, but when I asked for assistance from the ground staff, they suggested I buy a new ticket instead of helping me. She also walked away when I beg for help and feel very frustrated. Additionally, the airline staff refused to provide her name for my records for making a complaint and hid her staff card. She insisted and repeated * say No * and it is the customer’s fault. The inflight service I told supervisor of my case. He is the most helpful staff and tried to seek the help from CDG’s staff. Complaint form I submitted a complaint form and file a email complaint with no response.",April 2025,,1,Marrakech - Paris,International,
Chijioke A,"I travelled with Royal Air Maroc from London Gatwick via Casablanca to Abuja international on the 29/30th of April respectively. I arrived at my final destination only to realize that my is missing, one week later, still haven’t got my bag. Called the customer care folks severally but they keep playing me around.. one was very rude while another said to me “ sir we have rush hour now, is there anything else I can do for you “ I don’t live in Abuja and what’s meant to be a fun trip is turning into a nightmare as I have to start buying clothes. They don’t know where my bag is and are unwilling to help. I’ve contacted the MP for my constituency to write a letter to the CEO, I’ve written to the Ambassador of Morocco to the UK and I’m prepared to take this as high up as I can in a bid to hold them accountable for the horrible way they treat their passengers. My advice : STAY AWAY FROM ROYAL AIR MAROC!",April 2025,,1,London - Abuja,International,
Kathern H,"This is not the first time we have had issues with RAM, but it seems to some how just keep getting worse. Agents not able to do anything and the department you need doesn't work the hours you call, so they tell you to call in the morning. We wanted to change a flight on this occasion. They sent a link, we paid it, put 2 pending charges on the bank account. App showed confirmation with the new price, but the outbound flight was missing from the ticket. Agents and supervisors were not able to do anything. When we called at the time the correct department would be in, they said they reversed the payment for the change and now it's an additional $117.00. Spent too much time going back and forth with them about we did what we needed to do and it was their error and they would do absolutely nothing. Disconnected with them to discuss what is the best option for many reasons. We were waiting for a new link to pay the new price, it didn't come so we called back. Now, when we call back, another error on their behalf and the price once again went up. In 2 days, and about 15 calls we decided to cancel the entire booking and take the loss with cancelation fees. The first agent we spoke to about cancelations gave us a price, second agent in the morning gave another proce and now this agent gave us a price nearly double. We canceled. We had a major issue with them when flying out of Casablanca last year, and additional flights prior, it is always about RAM not following their written policies, not having consistency, having unbelievably rude customer service agents, not owning their errors that they can clearly see in their system, and what seems like random made up amounts based on how they feel and want to choose knowing even though it is their error they will not correct. It is worth it to take a flight with another airline and have 3 stops over booking with RAM that is blatantly corrupt. I want to know when the FAA or DOT is going to step in and fix this or stop them from flying in and out of the US.",May 2025,,1,New York City - Casablanca,International,
Desmond Cuddy,"We recently returned from spain via Casablanca airport to toronto-------my son left, by mistake, his new Iphone 16 in a seatback as he was leaving the airplane------when he realized he'd left it in the plane we were on our way to the terminal via a shuttle bus---we were not allowed to return to retrive it and when we contacted the ground staff at the help desk they were totally dis-interested and not one bit willing to help!!!! My son sent in a complaint to the Air Maroc customer service -----he knew exactly where the phone was via tracking ----it was at the help desk---but still no assistance from the ground staff. After numerous requests directed to the customer service staff we have not received any assistance from them!!!!!!",March 2025,,2,Barcelona - Toronto,International,
